,circuit,tournament,country,year,date,gender,match_num,bracket,round,player1,p1_birthdate,p1_age,p1_hgt,p1_country,player2,p2_birthdate,p2_age,p2_hgt,p2_country,rank,p1_tot_attacks,p1_tot_kills,p1_tot_errors,p1_tot_hitpct,p1_tot_aces,p1_tot_serve_errors,p1_tot_blocks,p1_tot_digs,p2_tot_attacks,p2_tot_kills,p2_tot_errors,p2_tot_hitpct,p2_tot_aces,p2_tot_serve_errors,p2_tot_blocks,p2_tot_digs,win,mean_age,mean_hgt,sum_tot_attacks,sum_tot_kills,sum_tot_errors,sum_tot_hitpct,sum_tot_aces,sum_tot_serve_errors,sum_tot_blocks,sum_tot_digs,mean_tot_hitpct,result
49,AVP,Austin,United States,2018,2018-05-17,W,1,Winner's Bracket,Round 1,Alix Klineman,1989-12-30,28.3778234,77.0,United States,April Ross,1982-06-20,35.9069131,73.0,United States,1,28.0,15.0,6.0,0.321,4.0,4.0,2.0,3.0,15.0,8.0,2.0,0.4,2.0,2.0,0.0,12.0,1,32.14236825,75.0,43.0,23.0,8.0,0.7210000000000001,6.0,6.0,2.0,15.0,0.3605,Win
50,AVP,Austin,United States,2018,2018-05-17,W,2,Winner's Bracket,Round 1,Brittany Tiegs,1991-09-30,26.6283368,69.0,United States,Jace Pardon,1993-06-09,24.936345,70.0,United States,8,42.0,20.0,6.0,0.333,1.0,1.0,0.0,10.0,30.0,19.0,3.0,0.533,1.0,0.0,0.0,14.0,1,25.7823409,69.5,72.0,39.0,9.0,0.8660000000000001,2.0,1.0,0.0,24.0,0.433,Win
51,AVP,Austin,United States,2018,2018-05-17,W,3,Winner's Bracket,Round 1,Aurora Davis,1991-07-01,26.8774812,69.0,United States,Bree Scarbrough,1993-05-16,25.0020534,73.0,United States,12,46.0,21.0,7.0,0.304,3.0,4.0,0.0,11.0,33.0,13.0,8.0,0.152,1.0,2.0,0.0,6.0,1,25.9397673,71.0,79.0,34.0,15.0,0.4559999999999999,4.0,6.0,0.0,17.0,0.2279999999999999,Win
52,AVP,Austin,United States,2018,2018-05-17,W,4,Winner's Bracket,Round 1,Nicolette Martin,1995-03-02,23.2087611,69.0,United States,Sarah Day,1989-07-14,28.8405202,70.0,United States,"13, Q1",30.0,16.0,3.0,0.433,2.0,3.0,0.0,14.0,29.0,12.0,7.0,0.172,3.0,4.0,4.0,6.0,1,26.02464065,69.5,59.0,28.0,10.0,0.605,5.0,7.0,4.0,20.0,0.3025,Win
53,AVP,Austin,United States,2018,2018-05-17,W,5,Winner's Bracket,Round 1,Janelle Allen,1980-11-22,37.4811773,70.0,United States,Kerri Schuh,1988-09-15,29.6673511,72.0,United States,"14, Q5",21.0,11.0,1.0,0.476,3.0,0.0,0.0,16.0,30.0,19.0,5.0,0.467,3.0,5.0,5.0,6.0,1,33.5742642,71.0,51.0,30.0,6.0,0.943,6.0,5.0,5.0,22.0,0.4715,Win
54,AVP,Austin,United States,2018,2018-05-17,W,6,Winner's Bracket,Round 1,Lara Dykstra,1993-01-12,25.3415469,69.0,United States,Sheila Shaw,1983-12-21,34.403833,73.0,United States,11,25.0,14.0,2.0,0.48,2.0,3.0,0.0,9.0,34.0,21.0,6.0,0.441,4.0,0.0,1.0,3.0,1,29.87268995,71.0,59.0,35.0,8.0,0.921,6.0,3.0,1.0,12.0,0.4605,Win
55,AVP,Austin,United States,2018,2018-05-17,W,7,Winner's Bracket,Round 1,Lauren Fendrick,1982-03-20,36.1587953,75.0,United States,Sarah Sponcil,1996-08-16,21.7494867,70.0,United States,7,20.0,12.0,1.0,0.55,1.0,3.0,2.0,5.0,56.0,22.0,4.0,0.321,2.0,2.0,0.0,24.0,1,28.954141,72.5,76.0,34.0,5.0,0.871,3.0,5.0,2.0,29.0,0.4355,Win
56,AVP,Austin,United States,2018,2018-05-17,W,8,Winner's Bracket,Round 1,Caitlin Ledoux,1990-06-09,27.9370294,74.0,United States,Kendra VanZwieten,1985-02-08,33.2676249,66.0,United States,2,49.0,25.0,9.0,0.327,3.0,2.0,3.0,5.0,26.0,9.0,4.0,0.192,6.0,1.0,0.0,10.0,1,30.60232715,70.0,75.0,34.0,13.0,0.519,9.0,3.0,3.0,15.0,0.2595,Win
57,AVP,Austin,United States,2018,2018-05-17,W,9,Winner's Bracket,Round 2,Alix Klineman,1989-12-30,28.3778234,77.0,United States,April Ross,1982-06-20,35.9069131,73.0,United States,1,14.0,10.0,0.0,0.714,3.0,4.0,0.0,4.0,33.0,19.0,4.0,0.455,2.0,2.0,0.0,16.0,1,32.14236825,75.0,47.0,29.0,4.0,1.169,5.0,6.0,0.0,20.0,0.5845,Win
58,AVP,Austin,United States,2018,2018-05-17,W,10,Winner's Bracket,Round 2,Nicolette Martin,1995-03-02,23.2087611,69.0,United States,Sarah Day,1989-07-14,28.8405202,70.0,United States,"13, Q1",15.0,7.0,2.0,0.333,4.0,1.0,0.0,5.0,12.0,11.0,0.0,0.917,2.0,5.0,2.0,2.0,1,26.02464065,69.5,27.0,18.0,2.0,1.25,6.0,6.0,2.0,7.0,0.625,Win
